Year,Instrument,Type,Disorder,Codeveloped
2017,INT-CAT,IRT-based multidimensional CAT,Internalizing spectrum,"Philip Batterham, Alison Calear, Natacha Carragher, Tim Slade"
2017,Internalizing Static short form,IRT-based severity screener,Internalizing spectrum,"Philip Batterham, Alison Calear, Natacha Carragher, Tim Slade"
2016,Distress Questionnaire-5,Regression-based severity screener,Psychological distress,"Philip Batterham, Alison Calear, Natacha Carragher, Tim Slade"
2010,Mini-CIDI 3.0 Depression/Dysthymia module,Decision-tree based diagnostic interview,Depression/Dysthymia,"Tim Slade, Gavin Andrews"
2010,Mini-CIDI 3.0 Mania module,Decision-tree based diagnostic interview,Manic episode,"Tim Slade, Gavin Andrews"
2010,Mini-CIDI 3.0 Social phobia module,Decision-tree based diagnostic interview,Social anxiety disorder,"Tim Slade, Gavin Andrews"
2010,Mini-CIDI 3.0 Panic Disorder module,Decision-tree based diagnostic interview,Panic disorder,"Tim Slade, Gavin Andrews"
2010,Mini-CIDI 3.0 Agoraphobia module,Decision-tree based diagnostic interview,Agoraphobia,"Tim Slade, Gavin Andrews"
2010,Mini-CIDI 3.0 GAD module,Decision-tree based diagnostic interview,Generalised anxiety disorder,"Tim Slade, Gavin Andrews"
2010,Mini-CIDI 3.0 PTSD module,Decision-tree based diagnostic interview,Post-traumatic stress disorder,"Tim Slade, Gavin Andrews"
2010,Mini-CIDI 3.0 Alcohol abuse module,Decision-tree based diagnostic interview,Alcohol Abuse,"Tim Slade, Gavin Andrews"
2010,Mini-CIDI 3.0 Alcohol dependence module,Decision-tree based diagnostic interview,Alcohol Dependence,"Tim Slade, Gavin Andrews"
2016,DSM-5 Self-report checklist - depression module,Checklist-style diagnostic interview,Depressive episode,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,DSM-5 Self-report checklist - panic disorder module,Checklist-style diagnostic interview,Panic disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,DSM-5 Self-report checklist - social phobia module,Checklist-style diagnostic interview,Social anxiety disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,DSM-5 Self-report checklist - OCD module,Checklist-style diagnostic interview,Obsessive compulsive disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,DSM-5 Self-report checklist - PTSD module,Checklist-style diagnostic interview,Post-traumatic stress disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,DSM-5 Self-report checklist - GAD module,Checklist-style diagnostic interview,Generalised anxiety disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,DSM-5 Self-report checklist - Adult ADHD module,Checklist-style diagnostic interview,Adult ADHD,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,DSM-5 Self-report checklist - Alcohol use disorder module,Checklist-style diagnostic interview,Alcohol use disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,DSM-5 Self-report checklist - Substance use disorder module,Checklist-style diagnostic interview,Substance use disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2011,Social Interaction Anxiety Scale-6,IRT-based severity screener,Social anxiety disorder,"Lorna Peters, Gavin Andrews, Ron Rapee, Richard Mattick"
2011,Social Phobia Scale-6,IRT-based severity screener,Social anxiety disorder,"Lorna Peters, Gavin Andrews, Ron Rapee, Richard Mattick"
2011,General Social Anxiety Scale-12,IRT-based severity screener,Social anxiety disorder,"Lorna Peters, Gavin Andrews, Ron Rapee, Richard Mattick"
2017,ESI-CAT Alcohol problems,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Alcohol use ,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Alienation ,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Blame Externalizing ,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Dependability,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Destructive Aggression,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Drug problems,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Drug Use ,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Empathy ,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Excitement seeking ,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Fraud ,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Honesty ,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Impatient Urgency ,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Irresponsibility ,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Marijuana problems ,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Marijuana use ,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Physical aggression,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Planful control,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Problematic impulsivity,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Rebelliousness,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Relational aggression,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Theft,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Broad Disinhibition,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Callous Aggression,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2017,ESI-CAT Substance Abuse,IRT-based CAT,Externalizing Spectrum ,"Bob Krueger, Kristian Markon, Chris Patrick, Mark Kramer, Tim Slade"
2016,Worry Behaviour Inventory,Newly developed scale,Generalised anxiety disorder,"Alison Mahoney, Jill Newby, Alishia Williams, Megan Hobbs, Gavin Andrews"
2018,Common metric for psychological distress,Scale equating and cross-walk tables,Psychological distress,"Philip Batterham, Alison Calear, Natacha Carragher, Tim Slade"
2019,Common metric for SAD,Scale equating and cross-walk tables,Social anxiety disorder,"Philip Batterham, Alison Calear, Natacha Carragher, Andrew Baillie, Tim Slade"
2019,Common metric for Panic disorder,Scale equating and cross-walk tables,Panic disorder,"Philip Batterham, Alison Calear, Natacha Carragher, Andrew Baillie, Tim Slade"
2019,STB Static severity screener,IRT-based severity screener,Suicidal thoughts and behaviours,"Philip Batterham, Alison Calear, Natacha Carragher"
2019,STB Adaptive severity screener,IRT-based CAT,Suicidal thoughts and behaviours,"Philip Batterham, Alison Calear, Natacha Carragher"
